AL, 08, 2021081506, RI, RIOC,  48, 356N,  630W,   2,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, RIOC,  72, 356N,  630W,   2,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, RIOD,  12, 356N,  630W,   3,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, RIOD,  24, 356N,  630W,   8,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOD,  24, 356N,  630W,   6,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOD,  24, 356N,  630W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOD,  24, 356N,  630W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOD,  36, 356N,  630W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, RIOD,  48, 356N,  630W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, RIOD,  72, 356N,  630W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, RIOL,  12, 356N,  630W,   3,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, RIOL,  24, 356N,  630W,  12,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOL,  24, 356N,  630W,   8,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOL,  24, 356N,  630W,   4,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOL,  24, 356N,  630W,   2,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOL,  36, 356N,  630W,  11,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, RIOL,  48, 356N,  630W,   7,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, RIOL,  72, 356N,  630W,   6,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, TR, GPCC,  12, 345N,  628W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
AL, 08, 2021081506, TR, GPCC,  24, 332N,  629W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 08, 2021081506, TR, GPCC,  36, 322N,  631W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
