EP, 02, 2021053000, TR, TVCN,  36, 111N, 1066W,  68,   57,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN,  48, 119N, 1079W,  68,   63,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN,  60, 125N, 1090W,  68,   74,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN,  72, 131N, 1098W,  68,   78,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN,  96, 139N, 1106W,  68,  106,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN, 120, 142N, 1113W,  68,  125,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, WR, RVCN,   0,  98N, 1005W,  68,   0, 34,    0, 
EP, 02, 2021053000, WR, RVCN,  12,  99N, 1029W,  68,   0, 34,    5, 
EP, 02, 2021053000, WR, RVCN,  24, 103N, 1049W,  68,  13, 34,   16, 
EP, 02, 2021053000, WR, RVCN,  36, 111N, 1066W,  68,  28, 34,   25, 
EP, 02, 2021053000, WR, RVCN,  48, 119N, 1079W,  68,  48, 34,   32, 
EP, 02, 2021053000, WR, RVCN,  60, 125N, 1090W,  68,  48, 34,   29, 
EP, 02, 2021053000, WR, RVCN,  72, 131N, 1098W,  68,  25, 34,   27, 
EP, 02, 2021053000, WR, RVCN,  84, 137N, 1103W,  68,  25, 34,   27, 
EP, 02, 2021053000, WR, RVCN,  96, 139N, 1106W,  68,  18, 34,   16, 
EP, 02, 2021053000, WR, RVCN, 108, 141N, 1109W,  68,  18, 34,   16, 
EP, 02, 2021053000, WR, RVCN, 120, 142N, 1113W,  68,   0, 34,    5, 
EP, 02, 2021053000, WR, RVCN, 132, 144N, 1116W,  68,   0, 34,    5, 
EP, 02, 2021053000, WR, RVCN, 144, 147N, 1130W,  68,   0, 34,    5, 
EP, 02, 2021053000, WR, RVCN, 156, 156N, 1131W,  68,   0, 34,    5, 
EP, 02, 2021053000, WR, RVCN, 168, 166N, 1129W,  68,   0, 34,    5, 
EP, 02, 2021053006, IN, ICON,  12,     ,      ,  68,  30,   ,    5, 
EP, 02, 2021053006, IN, ICON,  24,     ,      ,  68,  34,   ,    8, 
EP, 02, 2021053006, IN, ICON,  36,     ,      ,  68,  39,   ,   11, 
EP, 02, 2021053006, IN, ICON,  48,     ,      ,  68,  41,   ,   13, 
EP, 02, 2021053006, IN, ICON,  60,     ,      ,  68,  42,   ,   14, 
EP, 02, 2021053006, IN, ICON,  72,     ,      ,  68,  41,   ,   15, 
EP, 02, 2021053006, IN, ICON,  96,     ,      ,  68,  38,   ,   12, 
EP, 02, 2021053006, IN, ICON, 120,     ,      ,  68,  36,   ,   13, 
EP, 02, 2021053006, IN, IVCN,  12,     ,      ,  68,  30,   ,    5, 
