EP, 07, 2021071600, IN, ICON,  12,     ,      ,  68,  24,   ,    5, 
EP, 07, 2021071600, IN, ICON,  24,     ,      ,  68,  28,   ,    8, 
EP, 07, 2021071600, IN, ICON,  36,     ,      ,  68,  33,   ,   11, 
EP, 07, 2021071600, IN, ICON,  48,     ,      ,  68,  40,   ,   13, 
EP, 07, 2021071600, IN, ICON,  60,     ,      ,  68,  44,   ,   14, 
EP, 07, 2021071600, IN, ICON,  72,     ,      ,  68,  46,   ,   16, 
EP, 07, 2021071600, IN, IVCN,  12,     ,      ,  68,  24,   ,    5, 
EP, 07, 2021071600, IN, IVCN,  24,     ,      ,  68,  28,   ,    8, 
EP, 07, 2021071600, IN, IVCN,  36,     ,      ,  68,  32,   ,   10, 
EP, 07, 2021071600, IN, IVCN,  48,     ,      ,  68,  38,   ,   12, 
EP, 07, 2021071600, IN, IVCN,  60,     ,      ,  68,  43,   ,   14, 
EP, 07, 2021071600, IN, IVCN,  72,     ,      ,  68,  44,   ,   16, 
EP, 07, 2021071600, IN, IVCN,  96,     ,      ,  68,  44,   ,   16, 
EP, 07, 2021071600, IN, IVCN, 120,     ,      ,  68,  31,   ,   13, 
EP, 07, 2021071600, RI, DTOP,  12, 106N,  980W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, DTOP,  24, 106N,  980W,   2,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, DTOP,  24, 106N,  980W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, DTOP,  24, 106N,  980W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, DTOP,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, DTOP,  36, 106N,  980W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, DTOP,  48, 106N,  980W,   2,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, DTOP,  72, 106N,  980W,  26,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, DTPE,  12, 106N,  980W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, DTPE,  24, 106N,  980W,   2,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, DTPE,  24, 106N,  980W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, DTPE,  24, 106N,  980W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, DTPE,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, DTPE,  36, 106N,  980W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, DTPE,  48, 106N,  980W,   2,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, DTPE,  72, 106N,  980W,  24,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, EIOB,  12, 106N,  980W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, EIOB,  24, 106N,  980W,   4,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOB,  24, 106N,  980W,   2,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOB,  24, 106N,  980W,   1,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOB,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOB,  36, 106N,  980W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, EIOB,  48, 106N,  980W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, EIOB,  72, 106N,  980W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, EIOC,  12, 106N,  980W,   2,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, EIOC,  24, 106N,  980W,  10,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOC,  24, 106N,  980W,   6,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOC,  24, 106N,  980W,   3,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOC,  24, 106N,  980W,   1,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOC,  36, 106N,  980W,   6,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, EIOC,  48, 106N,  980W,   7,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, EIOC,  72, 106N,  980W,   2,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, EIOD,  12, 106N,  980W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, EIOD,  24, 106N,  980W,   0,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOD,  24, 106N,  980W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOD,  24, 106N,  980W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOD,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOD,  36, 106N,  980W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, EIOD,  48, 106N,  980W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, EIOD,  72, 106N,  980W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, EIOL,  12, 106N,  980W,   6,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, EIOL,  24, 106N,  980W,  27,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOL,  24, 106N,  980W,  15,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOL,  24, 106N,  980W,   9,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOL,  24, 106N,  980W,   2,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, EIOL,  36, 106N,  980W,  19,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, EIOL,  48, 106N,  980W,  22,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, EIOL,  72, 106N,  980W,   7,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, RIOB,  12, 106N,  980W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, RIOB,  24, 106N,  980W,   1,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOB,  24, 106N,  980W,   1,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOB,  24, 106N,  980W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOB,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOB,  36, 106N,  980W,   0,  45,  65,    ,            0,           36, 
