AL, 06, 2021080818, RI, RIOD,  36, 131N,  532W,   0,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, RIOD,  48, 131N,  532W,  11,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, RIOD,  72, 131N,  532W,   0,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, RIOL,  12, 131N,  532W,   6,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, RIOL,  24, 131N,  532W,  10,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOL,  24, 131N,  532W,  13,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOL,  24, 131N,  532W,   5,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOL,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOL,  36, 131N,  532W,   3,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, RIOL,  48, 131N,  532W,   2,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, RIOL,  72, 131N,  532W,   2,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, TR, GPCC,  12, 139N,  552W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC,  24, 149N,  576W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC,  36, 161N,  605W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC,  48, 173N,  635W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC,  60, 181N,  663W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC,  72, 190N,  689W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC,  96, 213N,  737W,  68,  159,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC, 120, 231N,  779W,  68,  198,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC, 144, 262N,  795W,  68,  239,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, GPCC, 168, 294N,  804W,  68,  271,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  12, 139N,  552W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  24, 149N,  576W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  36, 161N,  605W,  68,   49,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  48, 173N,  635W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  60, 181N,  663W,  68,   77,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  72, 190N,  689W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN,  96, 213N,  737W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN, 120, 231N,  779W,  68,  189,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN, 144, 262N,  795W,  68,  211,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCN, 168, 294N,  804W,  68,  211,   ,   0,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCX,   0, 131N,  533W,  70,    0,   ,  69,    ,    0,    0,    0,    0, 
AL, 06, 2021080818, TR, TVCX,  12, 139N,  552W,  70,   38,   ,  68,    ,   37,   40,    2,    0, 
AL, 06, 2021080818, TR, TVCX,  24, 150N,  576W,  70,   60,   ,  67,    ,   61,   60,    5,   -1, 
AL, 06, 2021080818, TR, TVCX,  36, 163N,  605W,  70,   82,   ,  68,    ,   75,   91,    8,   -5, 
AL, 06, 2021080818, TR, TVCX,  48, 177N,  633W,  70,  104,   ,  71,    ,   90,  120,   13,  -10, 
AL, 06, 2021080818, TR, TVCX,  72, 196N,  687W,  70,  125,   ,  68,    ,  147,  108,   20,  -19, 
AL, 06, 2021080818, TR, TVCX,  96, 221N,  734W,  70,  140,   ,  66,    ,  199,  100,   18,  -32, 
AL, 06, 2021080818, TR, TVCX, 120, 241N,  774W,  70,  194,   ,  64,    ,  264,  144,    0,  -65, 
AL, 06, 2021080818, TR, TVCX, 156,     ,      ,   0,  103,   ,   0,    ,    0,    0, 2051,    0, 
AL, 06, 2021080818, WR, RVCN,   0, 131N,  533W,  68,   0, 34,    0, 
AL, 06, 2021080818, WR, RVCN,  12, 139N,  552W,  68,   0, 34,    5, 
AL, 06, 2021080818, WR, RVCN,  24, 149N,  576W,  68,  30, 34,   33, 
AL, 06, 2021080818, WR, RVCN,  36, 161N,  605W,  68,  17, 34,   14, 
AL, 06, 2021080818, WR, RVCN,  48, 173N,  635W,  68,  23, 34,   35, 
AL, 06, 2021080818, WR, RVCN,  60, 181N,  663W,  68,  23, 34,   19, 
