AL, 07, 2021081118, TR, TVCX,   0, 121N,  350W,  70,    0,   ,  74,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, TVCX,  12, 131N,  384W,  70,   49,   ,  76,    ,   37,   66,    2,    0, 
AL, 07, 2021081118, TR, TVCX,  24, 139N,  418W,  70,   87,   ,  79,    ,   56,  137,    5,   -1, 
AL, 07, 2021081118, TR, TVCX,  36, 146N,  454W,  70,  110,   ,  89,    ,   72,  169,    8,   -5, 
AL, 07, 2021081118, TR, TVCX,  48, 148N,  495W,  70,  121,   ,  89,    ,  103,  143,   13,  -10, 
AL, 07, 2021081118, TR, TVCX, 156,     ,      ,   0,  103,   ,   0,    ,    0,    0, 2051,    0, 
AL, 07, 2021081118, TR, TVCX, 168, 108N,    0W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, WR, RVCN,   0, 121N,  350W,  68,   0, 34,    0, 
AL, 07, 2021081118, WR, RVCN,  12, 128N,  379W,  68,   0, 34,    5, 
AL, 07, 2021081118, WR, RVCN,  24, 137N,  406W,  68,   0, 34,    5, 
AL, 07, 2021081118, WR, RVCN,  36, 143N,  440W,  68,   0, 34,    5, 
AL, 07, 2021081118, WR, RVCN,  48, 138N,  485W,  68,   0, 34,    5, 
AL, 07, 2021081118, WR, RVCN,  60, 134N,  529W,  68,   0, 34,    5, 
AL, 07, 2021081200, IN, ICON,  12,     ,      ,  68,  27,   ,    4, 
AL, 07, 2021081200, IN, ICON,  24,     ,      ,  68,  29,   ,    6, 
AL, 07, 2021081200, IN, ICON,  36,     ,      ,  68,  32,   ,    7, 
AL, 07, 2021081200, IN, ICON,  48,     ,      ,  68,  34,   ,   10, 
AL, 07, 2021081200, IN, ICON,  60,     ,      ,  68,  38,   ,   13, 
AL, 07, 2021081200, IN, ICON,  72,     ,      ,  68,  41,   ,   17, 
AL, 07, 2021081200, IN, ICON,  96,     ,      ,  68,  47,   ,   26, 
AL, 07, 2021081200, IN, ICON, 120,     ,      ,  68,  55,   ,   37, 
AL, 07, 2021081200, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 07, 2021081200, IN, IVCN,  24,     ,      ,  68,  30,   ,    6, 
AL, 07, 2021081200, IN, IVCN,  36,     ,      ,  68,  32,   ,    7, 
AL, 07, 2021081200, IN, IVCN,  48,     ,      ,  68,  34,   ,   10, 
AL, 07, 2021081200, IN, IVCN,  60,     ,      ,  68,  38,   ,   13, 
AL, 07, 2021081200, IN, IVCN,  72,     ,      ,  68,  41,   ,   17, 
AL, 07, 2021081200, IN, IVCN,  96,     ,      ,  68,  47,   ,   26, 
AL, 07, 2021081200, IN, IVCN, 120,     ,      ,  68,  55,   ,   37, 
AL, 07, 2021081200, RI, DTOP,  12, 120N,  377W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081200, RI, DTOP,  24, 120N,  377W,   0,  25,  50,    ,            0,           24, 
AL, 07, 2021081200, RI, DTOP,  24, 120N,  377W,   0,  30,  55,    ,            0,           24, 
AL, 07, 2021081200, RI, DTOP,  24, 120N,  377W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081200, RI, DTOP,  24, 120N,  377W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081200, RI, DTOP,  36, 120N,  377W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081200, RI, DTOP,  48, 120N,  377W,   0,  55,  80,    ,            0,           48, 
