EP, 13, 2021082218, IN, IVCN,  72,     ,      ,  68,  24,   ,   12, 
EP, 13, 2021082218, IN, IVCN,  96,     ,      ,  68,  21,   ,    8, 
EP, 13, 2021082218, IN, IVCN, 120,     ,      ,  68,  20,   ,    7, 
EP, 13, 2021082218, RI, DTOP,  12, 193N, 1076W,   1,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, DTOP,  24, 193N, 1076W,   5,  25,  55,    ,            0,           24, 
EP, 13, 2021082218, RI, DTOP,  24, 193N, 1076W,   2,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, DTOP,  24, 193N, 1076W,   1,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, DTOP,  24, 193N, 1076W,   1,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, DTOP,  36, 193N, 1076W,   1,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, DTOP,  48, 193N, 1076W,   1,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, DTOP,  72, 193N, 1076W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082218, RI, DTPE,  12, 192N, 1070W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, DTPE,  24, 192N, 1070W,   0,  25,  55,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  24, 192N, 1070W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  24, 192N, 1070W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  24, 192N, 1070W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  36, 192N, 1070W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, DTPE,  48, 192N, 1070W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, DTPE,  72, 192N, 1070W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082218, RI, DTPE,  12, 193N, 1076W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, DTPE,  24, 193N, 1076W,   0,  25,  55,    ,            0,           24, 
