AL, 03, 2021061300, TR, TVCN,  36, 195N,  949W,  68,  102,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN,  48, 193N,  947W,  68,  107,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN,  60, 190N,  946W,  68,  107,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN,  72, 188N,  944W,  68,  112,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN,  96, 191N,  938W,  68,  112,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN, 120, 187N,  931W,  68,  172,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCX,   0, 200N,  945W,  70,    0,   ,  56,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCX,  12, 202N,  951W,  70,   41,   , 177,    ,   40,   42,    2,    0, 
AL, 03, 2021061300, TR, TVCX,  24, 199N,  951W,  70,   74,   , 251,    ,   63,   90,    5,   -1, 
AL, 03, 2021061300, TR, TVCX,  36, 193N,  949W,  70,  106,   , 242,    ,   64,  176,    8,   -5, 
AL, 03, 2021061300, TR, TVCX,  48, 189N,  949W,  70,  127,   , 244,    ,   78,  208,   13,  -10, 
AL, 03, 2021061300, TR, TVCX,  72, 182N,  946W,  70,  162,   , 248,    ,  126,  209,   20,  -19, 
AL, 03, 2021061300, TR, TVCX,  96, 184N,  943W,  70,  212,   , 235,    ,  142,  317,   18,  -32, 
AL, 03, 2021061300, TR, TVCX, 120, 187N,  942W,  70,  275,   , 180,    ,  243,  313,    0,  -65, 
AL, 03, 2021061300, TR, TVCX, 156,     ,      ,   0,  103,   ,   0,    ,    0,    0, 2051,    0, 
AL, 03, 2021061300, TR, TVCX, 168, 108N,    0W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, WR, RVCN,   0, 200N,  945W,  68,   0, 34,    0, 
AL, 03, 2021061300, WR, RVCN,  12, 202N,  951W,  68,   0, 34,    5, 
AL, 03, 2021061300, WR, RVCN,  24, 200N,  950W,  68,  10, 34,   20, 
AL, 03, 2021061300, WR, RVCN,  36, 195N,  949W,  68,  13, 34,   12, 
AL, 03, 2021061300, WR, RVCN,  48, 193N,  947W,  68,  18, 34,   36, 
AL, 03, 2021061300, WR, RVCN,  60, 190N,  946W,  68,  18, 34,   17, 
AL, 03, 2021061300, WR, RVCN,  72, 188N,  944W,  68,  23, 34,   39, 
AL, 03, 2021061300, WR, RVCN,  84, 189N,  940W,  68,  23, 34,   39, 
AL, 03, 2021061300, WR, RVCN,  96, 191N,  938W,  68,  43, 34,   44, 
AL, 03, 2021061300, WR, RVCN, 108, 187N,  935W,  68,  43, 34,   44, 
AL, 03, 2021061300, WR, RVCN, 120, 187N,  931W,  68,  28, 34,   37, 
AL, 03, 2021061300, WR, RVCN, 132, 193N,  930W,  68,  28, 34,   37, 
AL, 03, 2021061300, WR, RVCN, 144, 238N,  927W,  68, 113, 34,   51, 
AL, 03, 2021061300, WR, RVCN, 156, 255N,  933W,  68, 113, 34,   51, 
AL, 03, 2021061300, WR, RVCN, 168, 268N,  933W,  68, 123, 34,   58, 
AL, 03, 2021061306, IN, ICON,  12,     ,      ,  68,  24,   ,    4, 
AL, 03, 2021061306, IN, ICON,  24,     ,      ,  68,  26,   ,    6, 
AL, 03, 2021061306, IN, ICON,  36,     ,      ,  68,  28,   ,    7, 
AL, 03, 2021061306, IN, IVCN,  12,     ,      ,  68,  24,   ,    4, 
AL, 03, 2021061306, IN, IVCN,  24,     ,      ,  68,  26,   ,    6, 
AL, 03, 2021061306, IN, IVCN,  36,     ,      ,  68,  28,   ,    7, 
AL, 03, 2021061306, IN, IVCN,  48,     ,      ,  68,  23,   ,    8, 
AL, 03, 2021061306, IN, IVCN,  60,     ,      ,  68,  20,   ,   10, 
AL, 03, 2021061306, IN, IVCN,  72,     ,      ,  68,  27,   ,   11, 
AL, 03, 2021061306, IN, IVCN,  96,     ,      ,  68,  35,   ,   13, 
AL, 03, 2021061306, IN, IVCN, 120,     ,      ,  68,  49,   ,   14, 
AL, 03, 2021061306, RI, DTOP,  12, 199N,  945W,   0,  20,  40,    ,            0,           12, 
