EP, 05, 2021062312, RI, EIOC,  24, 118N,  950W,  21,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOC,  24, 118N,  950W,  14,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOC,  24, 118N,  950W,   5,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOC,  24, 118N,  950W,   2,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOC,  36, 118N,  950W,  25,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, EIOC,  48, 118N,  950W,  34,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, EIOC,  72, 118N,  950W,  45,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, RI, EIOD,  12, 118N,  950W,   0,  20,  45,    ,            0,           12, 
EP, 05, 2021062312, RI, EIOD,  24, 118N,  950W,  21,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOD,  24, 118N,  950W,  17,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOD,  24, 118N,  950W,   0,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOD,  24, 118N,  950W,   0,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOD,  36, 118N,  950W,  17,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, EIOD,  48, 118N,  950W,  16,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, EIOD,  72, 118N,  950W,   0,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, RI, EIOL,  12, 118N,  950W,  10,  20,  45,    ,            0,           12, 
EP, 05, 2021062312, RI, EIOL,  24, 118N,  950W,  29,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOL,  24, 118N,  950W,  19,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOL,  24, 118N,  950W,  13,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOL,  24, 118N,  950W,   7,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, EIOL,  36, 118N,  950W,  50,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, EIOL,  48, 118N,  950W,  79,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, EIOL,  72, 118N,  950W,  72,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, RI, RIOB,  12, 118N,  950W,   0,  20,  45,    ,            0,           12, 
EP, 05, 2021062312, RI, RIOB,  24, 118N,  950W,  16,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOB,  24, 118N,  950W,   4,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOB,  24, 118N,  950W,   1,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOB,  24, 118N,  950W,   1,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOB,  36, 118N,  950W,  20,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, RIOB,  48, 118N,  950W,  36,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, RIOB,  72, 118N,  950W,  70,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, RI, RIOC,  12, 118N,  950W,   2,  20,  45,    ,            0,           12, 
EP, 05, 2021062312, RI, RIOC,  24, 118N,  950W,  21,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOC,  24, 118N,  950W,  11,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOC,  24, 118N,  950W,   3,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOC,  24, 118N,  950W,   2,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOC,  36, 118N,  950W,  22,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, RIOC,  48, 118N,  950W,  38,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, RIOC,  72, 118N,  950W,  48,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, RI, RIOD,  12, 118N,  950W,   0,  20,  45,    ,            0,           12, 
EP, 05, 2021062312, RI, RIOD,  24, 118N,  950W,  20,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOD,  24, 118N,  950W,  15,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOD,  24, 118N,  950W,   0,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOD,  24, 118N,  950W,   0,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOD,  36, 118N,  950W,  16,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, RIOD,  48, 118N,  950W,  16,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, RIOD,  72, 118N,  950W,   0,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, RI, RIOL,  12, 118N,  950W,   6,  20,  45,    ,            0,           12, 
EP, 05, 2021062312, RI, RIOL,  24, 118N,  950W,  29,  25,  50,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOL,  24, 118N,  950W,  14,  30,  55,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOL,  24, 118N,  950W,   8,  35,  60,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOL,  24, 118N,  950W,   6,  40,  65,    ,            0,           24, 
EP, 05, 2021062312, RI, RIOL,  36, 118N,  950W,  29,  45,  70,    ,            0,           36, 
EP, 05, 2021062312, RI, RIOL,  48, 118N,  950W,  63,  55,  80,    ,            0,           48, 
EP, 05, 2021062312, RI, RIOL,  72, 118N,  950W,  73,  65,  90,    ,            0,           72, 
EP, 05, 2021062312, TR, GPCC,  12, 131N,  968W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC,  24, 141N,  989W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC,  36, 145N, 1006W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC,  48, 149N, 1017W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC,  60, 155N, 1026W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC,  72, 162N, 1035W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC,  96, 181N, 1054W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC, 120, 195N, 1080W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC, 144, 198N, 1103W,  68,  186,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, GPCC, 168, 206N, 1120W,  68,  212,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2021062312, TR, TVCN,  12, 131N,  968W,  68,   39,   ,   0,    ,    0,    0,    0,    0, 
