EP, 06, 2021071306, RI, EIOB,  36, 114N, 1064W,   1,  45,  70,    ,            0,           36, 
EP, 06, 2021071306, RI, EIOB,  48, 114N, 1064W,   2,  55,  80,    ,            0,           48, 
EP, 06, 2021071306, RI, EIOB,  72, 114N, 1064W,   0,  65,  90,    ,            0,           72, 
EP, 06, 2021071306, RI, EIOC,  12, 114N, 1064W,   2,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, EIOC,  24, 114N, 1064W,  22,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOC,  24, 114N, 1064W,  13,  30,  55,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOC,  24, 114N, 1064W,   5,  35,  60,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOC,  24, 114N, 1064W,   4,  40,  65,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOC,  36, 114N, 1064W,  21,  45,  70,    ,            0,           36, 
EP, 06, 2021071306, RI, EIOC,  48, 114N, 1064W,  25,  55,  80,    ,            0,           48, 
EP, 06, 2021071306, RI, EIOC,  72, 114N, 1064W,  11,  65,  90,    ,            0,           72, 
EP, 06, 2021071306, RI, EIOD,  12, 114N, 1064W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, EIOD,  24, 114N, 1064W,  18,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOD,  24, 114N, 1064W,  17,  30,  55,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOD,  24, 114N, 1064W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOD,  24, 114N, 1064W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOD,  36, 114N, 1064W,  17,  45,  70,    ,            0,           36, 
EP, 06, 2021071306, RI, EIOD,  48, 114N, 1064W,  15,  55,  80,    ,            0,           48, 
EP, 06, 2021071306, RI, EIOD,  72, 114N, 1064W,   0,  65,  90,    ,            0,           72, 
EP, 06, 2021071306, RI, EIOL,  12, 114N, 1064W,   5,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, EIOL,  24, 114N, 1064W,  28,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOL,  24, 114N, 1064W,  20,  30,  55,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOL,  24, 114N, 1064W,  13,  35,  60,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOL,  24, 114N, 1064W,  11,  40,  65,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOL,  36, 114N, 1064W,  45,  45,  70,    ,            0,           36, 
EP, 06, 2021071306, RI, EIOL,  48, 114N, 1064W,  58,  55,  80,    ,            0,           48, 
EP, 06, 2021071306, RI, EIOL,  72, 114N, 1064W,  34,  65,  90,    ,            0,           72, 
EP, 06, 2021071306, RI, RIOB,  12, 114N, 1064W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, RIOB,  24, 114N, 1064W,  11,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOB,  24, 114N, 1064W,   1,  30,  55,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOB,  24, 114N, 1064W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOB,  24, 114N, 1064W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOB,  36, 114N, 1064W,   1,  45,  70,    ,            0,           36, 
EP, 06, 2021071306, RI, RIOB,  48, 114N, 1064W,   1,  55,  80,    ,            0,           48, 
EP, 06, 2021071306, RI, RIOB,  72, 114N, 1064W,   0,  65,  90,    ,            0,           72, 
EP, 06, 2021071306, RI, RIOC,  12, 114N, 1064W,   1,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, RIOC,  24, 114N, 1064W,  16,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOC,  24, 114N, 1064W,   9,  30,  55,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOC,  24, 114N, 1064W,   2,  35,  60,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOC,  24, 114N, 1064W,   1,  40,  65,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOC,  36, 114N, 1064W,  12,  45,  70,    ,            0,           36, 
EP, 06, 2021071306, RI, RIOC,  48, 114N, 1064W,   9,  55,  80,    ,            0,           48, 
EP, 06, 2021071306, RI, RIOC,  72, 114N, 1064W,   5,  65,  90,    ,            0,           72, 
EP, 06, 2021071306, RI, RIOD,  12, 114N, 1064W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, RIOD,  24, 114N, 1064W,  16,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, RIOD,  24, 114N, 1064W,  14,  30,  55,    ,            0,           24, 
